Style,Style DescriptioItnem,Item DescriptioCnolor Color Descr Grid,Size,,,Variant,Made In,Department Gender,,Product FamilyProduct SubgroQutpy,,RRP,,Unit Price,Total Sell,WH Mov. Ref.,Carton No,EAN code,SKU Tariff code,,Unit Weight KG,Total Unit Weight,Material1 Material1 composition,Finish1 Material2,Material2 composition,,Finish2,Material3,,Material3 composition,Finish3,Lining Type,Lining Composition
600591,L9PO055L-1S13242956,LAMB LEATHERF597 SHIRARAZ 50 13,8.5,,,,IT,Ready to WearLADIES,,RTW ACCESSORGIELOS VES 1,,€2 50.00,,€4 5.00,€45.00,WFCH01/2023/03/1846-7,CH-2022-000124290,7612501941251,623503500242032900,,0.082,0.082,LAMB M1:Lamb,LEATHER,,,,,,,,,L1:WO
599562,M5LR603K-8J45023725,WOOL KNITWEFA6R00 FROST 50 09,48,,,,IT,Ready to WearMENS,,RTW CLOTHINGSWEATER 1,,€3 95.00,,€7 1.10,€71.10,WFCH01/2023/03/1846-8,CH-2022-000124290,7612501783684,623579800761101100,,0.227,0.227,WOOL M1:70Wool30Cashmere,KNITWEAR,,,,,,,,,
599562,M5LR603K-8J45023725,WOOL KNITWEFA6R00 FROST 50 09,54,,,,IT,Ready to WearMENS,,RTW CLOTHINGSWEATER 1,,€3 95.00,,€7 1.10,€71.10,WFCH01/2023/03/1846-8,CH-2022-000124290,7612501783714,623579800461101100,,0.227,0.227,WOOL M1:70Wool30Cashmere,KNITWEAR,,,,,,,,,
599562,M5LR603K-8J45023725,WOOL KNITWEFA6R00 FROST 50 09,56,,,,IT,Ready to WearMENS,,RTW CLOTHINGSWEATER 1,,€3 95.00,,€7 1.10,€71.10,WFCH01/2023/03/1846-8,CH-2022-000124290,7612501783721,623579800361101100,,0.227,0.227,WOOL M1:70Wool30Cashmere,KNITWEAR,,,,,,,,,
601440,PAKITO 25322,CALF GRAINEDF512 02031 MID BRO3W4 N LOND 7,,,,F,IT,Shoes MENS,,SHOES DRIVER 4,,€3 80.00,,€6 8.40,€2 73.60,WFCH01/2023/03/1846-9,CH-2022-000100466,7612506379233,623793803264039992,,0.750,3.000,CALF TO:Calf,GRAINEDCALF,,,PLAIN,,,,,,L1:77Calf14Nylon09Polyurethane
601440,PAKITO 25322,CALF GRAINEDF512 02031 MID BRO3W4 N LOND 8,,,,F,IT,Shoes MENS,,SHOES DRIVER 2,,€3 80.00,,€6 8.40,€1 36.80,WFCH01/2023/03/1846-9,CH-2022-000100466,7612506379257,623793803064039992,,0.750,1.500,CALF TO:Calf,GRAINEDCALF,,,PLAIN,,,,,,L1:77Calf14Nylon09Polyurethane
595393,JANELLE BAG.E2M1782,CALF PLAIN F070 BLACK 23,1,,,,IT,Accessories LADIES,,ACC LLG SHOULDER BAG 1,,"€ 1 ,095.00",,€1 97.10,€1 97.10,WFCH01/2023/03/1846-10,CH-2022-000118091,7612510764261,622546500142022100,,0.494,0.494,CALF M1:100%Calf,PLAIN,,,,,,,,,LN:CO55LI45
600219,M7CN458T-8J30829752,WOOL JACQUAFR5D95 COFFEE 50 11,1,,,,IT,Ready to WearMENS,,RTW ACCESSORSICEASRF 1,,€1 60.00,,€2 8.80,€28.80,WFCH01/2023/03/1846-11,CH-2022-000118079,7612501937360,623490400161171090,,0.099,0.099,WOOL VirginWool,JACQUARD,,,,,,,,,
596314,L5CA371F-7S28060.O343,COTTON JERSEFY655 BLUSH 44,M,,,,IT,Ready to WearLADIES,,RTW CLOTHINGT-SHIRT / POLO 6,,€158.00,,€2 8.44,€1 70.64,WFCH01/2023/03/1846-12,CH-2022-000118082,7612510939041,622785200561102000,,0.247,1.482,COTTON Cotton,JERSEY,,,,,,,,,
596314,L5CA371F-7S28060.O343,COTTON JERSEYF655 BLUSH 44,XS,,,,IT,Ready to WearLADIES,,RTW CLOTHINGT-SHIRT / POLO 3,,€158.00,,€2 8.44,€85.32,WFCH01/2023/03/1846-12,CH-2022-000118082,7612510939027,622785200761102000,,0.247,0.741,COTTON Cotton,JERSEY,,,,,,,,,
597232,FLAIRE 20594,SYNTHETIC FABFR0I0C6 DARK RED 16 23,1,,,,CN,Accessories LADIES,,ACC LLG BACKPACK 1,,€310.00,,€5 5.80,€55.80,WFCH01/2023/03/1846-13,CH-2022-000124255,7612501237989,622988400142029200,,0.197,0.197,SYNTHETIC M1:PA92PU08,FABRIC BOVINE SPLIMT 2:YB91PU09,,,EMBOSSED,,,M3:NY92PU08,,,
601446,BIENY-T 25288,MIX POLYESTERF 1F0A0BRIC 0001 BLACK/WH02ITE,42,,,E,CN,Shoes MENS,,SHOES SNEAKER 1,,€380.00,,€6 8.40,€68.40,WFCH01/2023/03/1846-14,CH-2022-000100477,7612506327654,623770400564041900,,0.632,0.632,MIX POLYESMTE1R:PL85RU15,FABRIC CALF,M2:100%Calf,,PLAIN,,,M3:100%Polyethylene,,,
600018,L3OU288F-9S20224.8O30,POLYESTER EMFB7R1O3IDEREDNAVY 15,40,,,,RO,Ready to WearLADIES,,RTW CLOTHINGBOMBER/BLOUSON 2,,€650.00,,€1 17.00,€2 34.00,WFCH01/2023/03/1846-15,CH-2022-000116337,7612501667526,623430900562024000,,0.454,0.908,POLYESTER Polyester,EMBROIDERED,,,,,,,,,
600018,L3OU288F-9S20224.8O30,POLYESTER EMFB7R1O3IDEREDNAVY 15,42,,,,RO,Ready to WearLADIES,,RTW CLOTHINGBOMBER/BLOUSON 1,,€650.00,,€1 17.00,€1 17.00,WFCH01/2023/03/1846-15,CH-2022-000116337,7612501667533,623430900462024000,,0.454,0.454,POLYESTER Polyester,EMBROIDERED,,,,,,,,,
601969,PARMEL 25324,BOVINE GRAINEF4D79 46812 AGATA 2314,7,,,F,IT,Shoes MENS,,SHOES DRIVER 2,,€4 20.00,,€7 5.60,€1 51.20,WFCH01/2023/03/1846-16,CH-2022-000118064,7612506450765,623795303264039992,,0.829,1.658,BOVINE M1:100%Bovine,GRAINEDCALF,M2:100%Calf,,PLAIN,,,M3:100%Polyethylene,,,LN:100%Calf
